tourney_name,Date,tourney_level,Court,Surface,Round,Best of,winner_name,loser_name,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL
BMW Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Shevchenko A.,Cobolli F.,6.0,7.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,3.5,1.3,3.94,1.29
BMW Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Cerundolo F.,Struff J.L.,6.0,0.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.25,4.0,1.32,3.69
BMW Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Humbert U.,Jarry N.,4.0,6.0,6.0,3.0,6.0,2.0,,,,,2.0,1.0,Completed,1.8,2.0,1.81,2.1
BMW Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Dedura-Palomero D.,Shapovalov D.,7.0,6.0,3.0,0.0,,,,,,,1.0,0.0,Retired,8.0,1.08,8.11,1.11
BMW Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Navone M.,Auger-Aliassime F.,2.0,6.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,2.1,1.73,2.18,1.75
BMW Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Bergs Z.,Bublik A.,6.0,7.0,6.0,4.0,7.0,5.0,,,,,2.0,1.0,Completed,1.62,2.3,1.52,2.7
Barcelona Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Fils A.,Carreno Busta P.,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.25,4.0,1.25,4.32
Barcelona Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Baez S.,Dzumhur D.,6.0,1.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.3,3.5,1.32,3.65
Barcelona Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Tsitsipas S.,Opelka R.,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.11,6.5,1.16,6.13
Barcelona Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Ruud C.,Galan D.E.,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.13,6.0,1.14,6.73
Barcelona Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Djere L.,Rinderknech A.,6.0,7.0,6.0,1.0,6.0,2.0,,,,,2.0,1.0,Completed,1.25,4.0,1.3,3.81
Barcelona Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,De Minaur A.,Etcheverry T.,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.33,3.4,1.38,3.17
Barcelona Open,2025-04-15,ATP500,Outdoor,Clay,1st Round,3.0,Munar J.,Tiafoe F.,2.0,6.0,7.0,5.0,6.0,1.0,,,,,2.0,1.0,Completed,1.73,2.1,1.71,2.25
